Medicine Name,Uses,Side_effects
Lipocut 60 Capsule, Obesity,Fat in stool Bowel incontinence Flatus with discharge Oily spotting Increased urge to pass bowels Oily evacuation Increased bowel movements
Lupisulin M 30 Injection 100IU/ml, Diabetes,Hypoglycemia low blood glucose level Injection site reactions pain swelling redness Weight gain
Levomac OZ Tablet, Diarrhea Dysentery,Nausea Loss of appetite Dizziness Headache
Livoluk Oral Solution,Treatment of ConstipationTreatment of Hepatic encephalopathy,Abdominal pain Nausea Vomiting Diarrhea
Lulibor Lotion,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Laxobig  Syrup,Treatment of Constipation,Diarrhea Stomach pain
Lactolook Oral Solution Sugar Free,Treatment of ConstipationTreatment of Hepatic encephalopathy,Abdominal pain Nausea Vomiting Diarrhea
Lizomed Oral Suspension,Treatment of Resistant Tuberculosis (TB)Treatment of Severe bacterial infections,Decreased blood pressure Vomiting Headache Nausea Decreased blood cells red cells white cells and platelets Diarrhea
Lozivate-F Cream,Treatment of Skin infections,Application site reactions burning irritation itching and redness Thinning of skin
Lonopin MD 300mg Injection,Treatment and prevention of Blood clots,Bleeding Headache Low blood platelets Increased liver enzymes Anemia low number of red blood cells Fever Injection site pain Breathing problems Edema swelling Diarrhea
Lidogab Gel, Neuropathic pain,Application site reactions burning irritation itching and redness
Lobate-GM Neo Lotion,Treatment of Skin infections,Application site reactions burning irritation itching and redness Thinning of skin
Lubrifresh Gel Eye Drop,Treatment of Dry eyes,Eye irritation Burning eyes Eye discomfort Eye itching Eye pain
Laxitol Husk  Granules Sugar Free,Treatment of Constipation,Bloating Stomach cramp Flatulence
Lipicard-AV Tablet,Treatment of High cholesterolPrevention of Heart attack,Nausea Stomach pain Constipation Flatulence Headache Muscle pain Increased liver enzymes Increased glucose level in blood
Lorexane Spray, Scabies,Hair loss Rash Erythematous rash Drowsiness Headache Dizziness Convulsion Itching Dry skin Paresthesia tingling or pricking sensation Numbness Tremors
Lornit 500 Tablet,Treatment of Liver  disease,Injection site reactions pain swelling redness
Lupin Bepogra Tablet, Sneezing and runny nose due to allergies,Sleepiness Eye irritation Headache Nasopharyngitis inflammation of the throat and nasal passages Taste change Feeling thirsty Nausea Abdominal pain Diarrhea Stomach discomfort Fatigue Abnormal liver function tests
Lamitor OD 50 Tablet SR, Epilepsy/Seizures Bipolar disorder,Skin rash Headache Nausea Vomiting Dryness in mouth Insomnia difficulty in sleeping Sleepiness Dizziness Back pain Abdominal pain Blurred vision Double vision Impaired coordination Nasal congestion stuffy nose Infection
L-Hist Mont FX Tablet,Treatment of Sneezing and runny nose due to allergies,Nausea Diarrhea Vomiting Skin rash Flu like symptoms Headache Drowsiness Dizziness
Lipi EZ 10 Tablet, High cholesterol,Nausea Muscle pain Increased transaminase level in blood Upper respiratory tract infection
Lubrijoint 750 Tablet, Osteoarthritis,No common side effects seen
Levogastrol Tablet, Gastroesophageal reflux disease (Acid reflux) Irritable bowel syndrome Heartburn,Increased prolactin level in blood Extrapyramidal symptoms Weight gain Akathisia inability to stay still Increased liver enzymes Constipation Insomnia difficulty in sleeping Sedation Maculopapular rash
Levilex 500 Tablet,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Loy D3 Capsule,Treatment of Vitamin D deficiencyTreatment of Osteoporosis,No common side effects seen
Leezole Gel, Fungal infections of vaginaTreatment of Fungal infections,Blisters Skin peeling Swelling Application site irritation
Listril 5 Tablet, Hypertension (high blood pressure) Prevention of heart attack and stroke Heart failure,Decreased blood pressure Cough Increased potassium level in blood Fatigue Weakness Dizziness
Lupirtin -SR Tablet, Pain relief,Fatigue Dizziness Nausea Dryness in mouth Tremors Heartburn Vomiting Abdominal pain Constipation Loss of appetite Depression Headache Abdominal discomfort Sleep disturbance Increased sweating Restlessness Nervousness Flatulence Diarrhea
Lupoxa OD Tablet SR, Osteoarthritis Rheumatoid arthritis,Headache Dizziness Nausea Vomiting Diarrhea
Lupin Acp 100mg/325mg Tablet, Pain relief,Nausea Vomiting Stomach pain epigastric pain Loss of appetite Heartburn Diarrhea
Lamifin Cream, Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
Looz Fibre Granules,Treatment of Constipation,Bloating Stomach cramp Flatulence
Lamivir HBV Tablet, Chronic hepatitis B virus (HBV) infection,Headache Nausea Diarrhea Vomiting Fatigue Stomach pain Rash
Lookbrite  Cream,Treatment of Melasma,Application site reactions burning irritation itching and redness
Levera 1000 Tablet,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Lametec 100 DT Tablet, Epilepsy/Seizures Bipolar disorder,Skin rash Headache Nausea Vomiting Dryness in mouth Insomnia difficulty in sleeping Sleepiness Dizziness Back pain Abdominal pain Blurred vision Double vision Impaired coordination Nasal congestion stuffy nose Infection
Lucrush Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Lametec 50 DT Tablet, Epilepsy/Seizures Bipolar disorder,Skin rash Headache Nausea Vomiting Dryness in mouth Insomnia difficulty in sleeping Sleepiness Dizziness Back pain Abdominal pain Blurred vision Double vision Impaired coordination Nasal congestion stuffy nose Infection
Lefive M Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,Nausea Diarrhea Dryness in mouth Fatigue Headache Skin rash Sleepiness Vomiting
Lornit Sachet,Treatment of Liver  disease,Injection site reactions pain swelling redness
Lekast Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,Nausea Diarrhea Dryness in mouth Fatigue Headache Skin rash Sleepiness Vomiting
L Montus Abl Tablet SR,Treatment of Respiratory tract disorders associated with viscid mucus,Nausea Upset stomach Dryness in mouth Headache Fatigue Allergic reaction Sleepiness Flu like symptoms
Lacne Gel,Treatment of Acne,Skin peeling Erythema skin redness Itching Dry skin Burning sensation at the site of application
Lotensyl 10 Tablet, Hypertension (high blood pressure),Dizziness Edema swelling Fatigue Flushing sense of warmth in the face ears neck and trunk Headache Palpitations
Lamifin Lotion, Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
Lurasid 40 Tablet, Schizophrenia,Nausea Vomiting Weight gain Sleepiness Dryness in mouth Indigestion Parkinsonism Akathisia inability to stay still Anxiety Stomach discomfort Restlessness Upper abdominal pain Agitation Insomnia difficulty in sleeping Increased saliva production
Lumycan Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Lipitas 20 Tablet,Treatment of High cholesterol Prevention of heart attack and stroke,Muscle pain Weakness Headache Abdominal pain Dizziness Joint pain Nausea
Laz 250mg Tablet,Treatment of Bacterial infections,Nausea Abdominal pain Diarrhea
Lignox 2 % A Injection, Local anesthesia (Numb tissues in a specific area),Pale skin Burning sensation Stinging sensation Erythema skin redness Itching Pain Petechiae red or purple spot caused by bleeding into the skin
Lupisera D Tablet, Pain relief,Nausea Vomiting Heartburn Stomach pain Indigestion Diarrhea Loss of appetite
LT-Mac Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Lizomed 300 Tablet,Treatment of Severe bacterial infections,Vomiting Headache Nausea Decreased blood cells red cells white cells and platelets Diarrhea
Lamez 25 Tablet DT, Epilepsy/Seizures Bipolar disorder,Skin rash Headache Nausea Vomiting Dryness in mouth Insomnia difficulty in sleeping Sleepiness Dizziness Back pain Abdominal pain Blurred vision Double vision Impaired coordination Nasal congestion stuffy nose Infection
Laxoclear Tablet,Treatment of Constipation,Abdominal pain Abdominal cramp Abdominal discomfort Diarrhea
Losar-Beta Tablet, Hypertension (high blood pressure),Nausea Taste change Constipation Diarrhea Headache Weakness Dizziness Cold extremities Upset stomach Increased potassium level in blood Slow heart rate Numbness of extremity Decreased blood pressure
Lopres  0.5% Eye Drop, Glaucoma Ocular hypertension,Burning eyes Stinging in the eyes
Lostat-H Tablet,Treatment of Hypertension (high blood pressure),Nausea Taste change Upset stomach Diarrhea Headache Dizziness Weakness Decreased blood pressure Increased blood uric acid Increased blood lipid level Glucose intolerance Electrolyte imbalance
Laxday Syrup,Treatment of ConstipationTreatment of Hepatic encephalopathy,Abdominal pain Nausea Vomiting Diarrhea
Lotesurge Ophthalmic Suspension, Redness and swelling in the eye,Eye irritation Watery eyes Burning sensation
Losacar 50 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Heart failure Prevention of heart attack and stroke,Dizziness Decreased blood pressure Hypoglycemia low blood glucose level Increased potassium level in blood Increased blood urea
Lupigest SR 300 Tablet, Hormone replacement therapyTreatment of Female infertility,Abdominal pain Nausea Abnormal vaginal bleeding Edema swelling Hair loss Abdominal bloating Headache Breast pain Vomiting Vaginal yeast infection
Lupin Mira 50 Tablet ER,Treatment of Overactive bladder (OAB) symptoms,Constipation Headache High blood pressure Nasal inflammation Urinary tract infection Fast heart rate Joint pain
L-Hist Mont Syrup,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,Nausea Diarrhea Dryness in mouth Fatigue Headache Skin rash Sleepiness Vomiting
Laregab 300mg Capsule,Treatment of Neuropathic painTreatment of Epilepsy/Seizures,Viral infection Sleepiness Dizziness Impaired coordination Fatigue Fever
Liofen XL 30 Capsule, Muscle relaxation,Dizziness Convulsion Nausea Headache Sedation Hypotension low blood pressure Hypotonia decreased muscle tone Agitation Constipation Increased white blood cell count Chills Urinary retention
Lupisulin R 100IU/ml Cartridge, Diabetes,Hypoglycemia low blood glucose level Weight gain Injection site reactions pain swelling redness Cold sweat Anxiety Shakiness Hunger pangs Fast heart rate Headache Nervousness
Livopill -DS Tablet, Liver disease,Limited data available
Lipigo F 10 Tablet,Treatment of High cholesterolPrevention of Heart attack,Headache Muscle pain Constipation Abnormal liver function tests Joint pain Elevated creatine kinase Diabetes
Lumigan 0.03% Ophthalmic Solution, Ocular hypertension Glaucoma,Conjunctival hyperemia Eye itching
Lacarnit 330 Tablet, Carnitine deficiency,Vomiting Nausea
Lorox P Tablet, Pain relief,Nausea Vomiting Indigestion Stomach pain Diarrhea
Lupiflex 4 Tablet, Pain due to muscle spasm,Nausea Indigestion Heartburn Stomach pain
Lukotas LC Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,Nausea Diarrhea Dryness in mouth Fatigue Headache Skin rash Sleepiness Vomiting
Lubistar-CMC 1% Eye Drop,Treatment of Dry eyes,Eye irritation Burning eyes Eye discomfort Eye itching Eye pain
Lamrest 10 Tablet,Treatment of InsomniaTreatment of Jet lag,Headache Drowsiness
Locula TR Eye Drop,Treatment of Dry eyes,Eye irritation Burning eyes Eye discomfort Eye itching Eye pain
LTK 50 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Heart failure Prevention of heart attack and stroke,Dizziness Decreased blood pressure Hypoglycemia low blood glucose level Increased potassium level in blood Increased blood urea
Lupoxa Capsule, Osteoarthritis Rheumatoid arthritis,Headache Dizziness Nausea Vomiting Diarrhea
Lipril 5 Tablet, Hypertension (high blood pressure) Prevention of heart attack and stroke Heart failure,Decreased blood pressure Cough Increased potassium level in blood Fatigue Weakness Dizziness
Lupihist  Syrup, Cough,Nausea Stomach pain epigastric pain Sleepiness Dizziness Impaired coordination Nervousness Insomnia difficulty in sleeping Restlessness Headache
Lukotrap Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,Nausea Diarrhea Dryness in mouth Fatigue Headache Skin rash Sleepiness Vomiting
Lupifos Powder, Bacterial infections of urinary tract,Headache Dizziness Vaginal inflammation Indigestion
Lizoforce IV Injection,Treatment of Severe bacterial infections,Vomiting Headache Nausea Decreased blood cells red cells white cells and platelets Diarrhea
Lukotas FX Tablet,Treatment of Sneezing and runny nose due to allergies,Nausea Diarrhea Vomiting Skin rash Flu like symptoms Headache Drowsiness Dizziness
Lymzit 408mg Capsule, Bacterial infections,Nausea Diarrhea Headache Abdominal pain
Looz Enema Mini,Treatment of ConstipationTreatment of Hepatic encephalopathy,Abdominal pain Diarrhea Nausea Vomiting Application site irritation
Levosiz-M Kid Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,Rash Nausea Diarrhea Dryness in mouth Fatigue Headache Skin rash Sleepiness Vomiting
Losacar-H Tablet,Treatment of Hypertension (high blood pressure),Nausea Taste change Upset stomach Diarrhea Headache Dizziness Weakness Decreased blood pressure Increased blood uric acid Increased blood lipid level Glucose intolerance Electrolyte imbalance
Levotac  5mg Tablet,Treatment of Allergic conditions,Sleepiness Fatigue Dryness in mouth Headache Vomiting Nasopharyngitis inflammation of the throat and nasal passages
Lostat 50 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Heart failure Prevention of heart attack and stroke,Dizziness Decreased blood pressure Hypoglycemia low blood glucose level Increased potassium level in blood Increased blood urea
Loparin 40 Injection,Treatment and prevention of Blood clots,Bleeding Headache Low blood platelets Increased liver enzymes Anemia low number of red blood cells Fever Injection site pain Breathing problems Edema swelling Diarrhea
Levocet-D Plus Tablet, Sneezing and runny nose due to allergies,Headache Dryness in mouth Nausea Vomiting Tiredness Sleepiness Restlessness
Lasma 4 Tablet,Treatment of Sneezing and runny nose due to allergies,Headache Diarrhea Abdominal pain Fever Upper respiratory tract infection
Lorvas Tablet, Hypertension (high blood pressure)Treatment of Edema,Dizziness Headache Fatigue Nausea Gastrointesinal symptoms Muscle cramp Rash
Lox 5% Ointment, Local anesthesia (Numb tissues in a specific area),Allergic reaction Application site reactions burning irritation itching and redness
Lorvas SR Tablet, Hypertension (high blood pressure)Treatment of Edema,Dizziness Headache Fatigue Nausea Gastrointesinal symptoms Muscle cramp Rash
Leset 5 Tablet,Treatment of Allergic conditions,Sleepiness Fatigue Dryness in mouth Headache Vomiting Nasopharyngitis inflammation of the throat and nasal passages
Levroxa 500mg Tablet,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Lupitros-Z Eye Drop BKC Free,Treatment of GlaucomaTreatment of Ocular hypertension,Eye pain Foreign body sensation Eye discomfort Eye itching Ocular hyperemia Decreased vision
Luliact Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Lozee M Cream,Treatment of Skin infections,Application site reactions burning irritation itching and redness
Levexx 500 Tablet,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Losium 50 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Heart failure Prevention of heart attack and stroke,Dizziness Decreased blood pressure Hypoglycemia low blood glucose level Increased potassium level in blood Increased blood urea
Lipitas 40mg Tablet,Treatment of High cholesterol Prevention of heart attack and stroke,Muscle pain Weakness Headache Abdominal pain Dizziness Joint pain Nausea
Levoquin 500mg Tablet,Treatment of Bacterial infections,Headache Dizziness Nausea Constipation Diarrhea
Lubrifresh Gel,Treatment of Dry eyes,Eye irritation Burning eyes Eye discomfort Eye itching Eye pain
Latocom   Eye Drops,Treatment of GlaucomaTreatment of Ocular hypertension,Burning sensation Eye irritation Stinging sensation Blurred vision
L-Sys Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Levazeo SR 75 Tablet, Gastroesophageal reflux disease (Acid reflux) Irritable bowel syndrome Heartburn,Increased prolactin level in blood Extrapyramidal symptoms Weight gain Akathisia inability to stay still Increased liver enzymes Constipation Insomnia difficulty in sleeping Sedation Maculopapular rash
Lethyrox 25 Tablet,Treatment of Hypothyroidism,Palpitations Vomiting Anxiety Diarrhea Weight loss Nervousness Increased appetite Tremors
Lubrigel Ocular Lubricant, Dry eyes,Blurred vision Eye irritation Eye pain Eye redness Foreign body sensation in eyes
Lamifin Tablet, Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
Livopill Tablet, Liver disease,Limited data available
Lacsyp  Syrup, Constipation,Cramps Abdominal distension Flatulence
Logifin CL 1% Lotion,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Lamifin-M Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Burning sensation Skin atrophy Skin exfoliation
Lox 2% Jelly, Local anesthesia (Numb tissues in a specific area),Allergic reaction Application site reactions burning irritation itching and redness
Lonopin 20mg Injection,Treatment and prevention of Blood clots,Bleeding Headache Low blood platelets Increased liver enzymes Anemia low number of red blood cells Fever Injection site pain Breathing problems Edema swelling Diarrhea
Latobest Eye Drop, Glaucoma Ocular hypertension,Eyelash changes Eye pain Increased sensitivity to light Burning sensation in eye Eye itching Foreign body sensation Itching Stinging in the eyes Conjunctival hyperemia
Logisil Capsule,Treatment of PilesTreatment of Varicose veins,Skin rash Fever Nausea Vomiting
Losanorm 50 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Heart failure Prevention of heart attack and stroke,Dizziness Decreased blood pressure Hypoglycemia low blood glucose level Increased potassium level in blood Increased blood urea
Lofecam 8 Tablet, Pain relief,Dizziness Headache Stomach pain Upset stomach Diarrhea Nausea Vomiting Indigestion
Liofen Liquid, Muscle relaxation,Dizziness Convulsion Nausea Headache Sedation Hypotension low blood pressure Hypotonia decreased muscle tone Agitation Constipation Increased white blood cell count Chills Urinary retention
Lamitor OD 200 Tablet SR, Epilepsy/Seizures Bipolar disorder,Skin rash Headache Nausea Vomiting Dryness in mouth Insomnia difficulty in sleeping Sleepiness Dizziness Back pain Abdominal pain Blurred vision Double vision Impaired coordination Nasal congestion stuffy nose Infection
Livodox Plus Tablet,Treatment of Liver  disease,Nausea Fatigue Headache
Lubrinac  Eye Drop,Treatment of Dry eyes,Application site reactions burning irritation itching and redness
LCZ-Cold Tablet,Treatment of Common cold,Nausea Vomiting Insomnia difficulty in sleeping Dizziness Impaired coordination Headache Sedation Inability to concentrate Irritability Tremors Diarrhea Dryness in mouth Fatigue Blurred vision
LCZ Plus New Tablet,Treatment of Common cold,Nausea Headache Insomnia difficulty in sleeping Dizziness Tachycardia Palpitations Fear Anxiety Restlessness Tremors Weakness Discomfort when urinating Hallucination Convulsion
Lupisoz Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Headache Dryness in mouth Nausea Abdominal pain Constipation Flatulence Diarrhea
Lindox-L Capsule,Treatment of Bacterial infections,Nausea Vomiting Photosensitivity Anaphylactic reaction Rash Headache Fast heart rate Hypotension low blood pressure
Lincotus EX  Syrup,Treatment of Cough with mucus,Nausea Diarrhea Bloating Indigestion Vomiting Stomach pain Sweating Dizziness Headache Skin rash Hives Tremors Increased heart rate
Levolin 2 Tablet,Treatment of Chronic obstructive pulmonary disease (COPD),Tremors Headache Palpitations Increased heart rate Muscle cramp
Listril 10 Tablet, Hypertension (high blood pressure) Prevention of heart attack and stroke Heart failure,Decreased blood pressure Cough Increased potassium level in blood Fatigue Weakness Dizziness
Lilituf Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Lipirose-F 5 Tablet,Treatment of High cholesterolPrevention of Heart attack,Headache Muscle pain Constipation Abnormal liver function tests Joint pain Elevated creatine kinase Diabetes
Levera Solution,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Latocom CF Eye Drop,Treatment of GlaucomaTreatment of Ocular hypertension,Burning sensation Eye irritation Stinging sensation Blurred vision
Livolexin Suspension, Nutritional deficiencies,Limited data available
Lizerton B6 Oral Solution Orange Sugar Free,Treatment and prevention of Kidney stone,Diarrhea Nausea Vomiting Stomach pain
Losakind 25 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Heart failure Prevention of heart attack and stroke,Dizziness Decreased blood pressure Hypoglycemia low blood glucose level Increased potassium level in blood Increased blood urea
Lonopin 60mg Injection,Treatment and prevention of Blood clots,Bleeding Headache Low blood platelets Increased liver enzymes Anemia low number of red blood cells Fever Injection site pain Breathing problems Edema swelling Diarrhea
L-Cin A Tablet,Treatment of Respiratory tract infection,Nausea Vomiting Diarrhea Headache Dizziness Insomnia difficulty in sleeping Allergic reaction
Latina RT Eye Drop, Glaucoma Ocular hypertension,Eyelash changes Eye pain Increased sensitivity to light Burning sensation in eye Eye itching Foreign body sensation Itching Stinging in the eyes Conjunctival hyperemia
Lotiviz 0.5% Eye Drop, Redness and swelling in the eye,Eye irritation Watery eyes Burning sensation
Larentine D 5mg/5mg Tablet, Alzheimer's disease,Nausea Vomiting Loss of appetite Diarrhea Headache Dizziness Bleeding under the skin
Lupenox 40mg Injection,Treatment and prevention of Blood clots,Bleeding Headache Low blood platelets Increased liver enzymes Anemia low number of red blood cells Fever Injection site pain Breathing problems Edema swelling Diarrhea
Levera XR 750 Tablet,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Levesam Oral Solution,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Lasma 10 Tablet,Prevention of Asthma,Headache Diarrhea Abdominal pain Fever Upper respiratory tract infection Cough Sore throat Runny nose Sinus inflammation Ear inflammation
Lafaxid-D  Tablet, Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease,Nausea Diarrhea Dryness in mouth Fatigue Headache Muscle pain Drowsiness Dizziness Increased liver enzymes Protein in urine Increased uric acid level in blood
Levepsy 750 Tablet,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Letero Tablet,Treatment of Breast cancerTreatment of Infertility due to anovulation,Fatigue Hypercholesterolemia high cholesterol Increased sweating Hot flashes Bone pain Dizziness Joint pain Edema swelling Flushing sense of warmth in the face ears neck and trunk
Lupibose 62.5 Tablet, Pulmonary arterial hypertension (PAH),Headache Ankle swelling Edema swelling Diarrhea Anemia low number of red blood cells Respiratory tract infection
Lulimac XL Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Laxiwal Solution,Treatment of ConstipationTreatment of Hepatic encephalopathy,Abdominal pain Nausea Vomiting Diarrhea
Lurata 40 Tablet, Schizophrenia,Nausea Vomiting Weight gain Sleepiness Dryness in mouth Indigestion Parkinsonism Akathisia inability to stay still Anxiety Stomach discomfort Restlessness Upper abdominal pain Agitation Insomnia difficulty in sleeping Increased saliva production
Lulibet Lotion,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
LTK-AM Tablet, Hypertension (high blood pressure),Sleepiness Ankle swelling Headache Flushing sense of warmth in the face ears neck and trunk Dizziness Palpitations Increased potassium level in blood Fatigue Nausea Edema swelling Abdominal pain Visual disturbance Breathlessness Change in bowel habits Nasal congestion stuffy nose Upper respiratory tract infection
Lefumide 20 Tablet, Rheumatoid arthritis Psoriatic arthritis,Nausea Headache Rash Diarrhea Increased liver enzymes Dyspepsia Dizziness Loss of appetite Hair loss Weight loss Bronchitis inflammation of the airways
Lulihalt Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Lipicure 80 Tablet, High cholesterolPrevention of Heart attack,Dyspepsia Abdominal pain Indigestion Diarrhea Joint pain Nasopharyngitis inflammation of the throat and nasal passages Nausea Pain in extremities Urinary tract infection Abnormal liver function tests
Labecor 100mg Tablet, Hypertension (high blood pressure) Angina (heart-related chest pain) Prevention of heart attack and stroke,Fatigue Nausea Dizziness Nasal congestion stuffy nose Ejaculation disorder Breathlessness
Lotesol 5 Eye Drop, Redness and swelling in the eye,Eye irritation Watery eyes Burning sensation
L-Sys Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Lipril 10 Tablet, Hypertension (high blood pressure) Prevention of heart attack and stroke Heart failure,Decreased blood pressure Cough Increased potassium level in blood Fatigue Weakness Dizziness
Levipil XR 1g Tablet,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Lupila 10 Tablet, Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease,Nausea Headache Flatulence Diarrhea
Lacotide 50 Tablet, Epilepsy/Seizures,Dizziness Headache Nausea Sleepiness Vomiting Visual disturbance Dryness in mouth Muscle spasm
Lupitros-TZ Eye Drop,Treatment of GlaucomaTreatment of Ocular hypertension,Stinging sensation Eye irritation Burning sensation Blurred vision
Lulizol Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Lamictal 50mg Tablet DT, Epilepsy/Seizures Bipolar disorder,Skin rash Headache Nausea Vomiting Dryness in mouth Insomnia difficulty in sleeping Sleepiness Dizziness Back pain Abdominal pain Blurred vision Double vision Impaired coordination Nasal congestion stuffy nose Infection
Lofatin Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Luliz 1% Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Lamivir 150 Tablet, Chronic hepatitis B virus (HBV) infection,Headache Nausea Diarrhea Vomiting Fatigue Stomach pain Rash
Lulirx Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
Lamosyn 50 Tablet, Epilepsy/Seizures Bipolar disorder,Skin rash Headache Nausea Vomiting Dryness in mouth Insomnia difficulty in sleeping Sleepiness Dizziness Back pain Abdominal pain Blurred vision Double vision Impaired coordination Nasal congestion stuffy nose Infection
Lamez OD 100 Tablet SR, Epilepsy/Seizures Bipolar disorder,Skin rash Headache Nausea Vomiting Dryness in mouth Insomnia difficulty in sleeping Sleepiness Dizziness Back pain Abdominal pain Blurred vision Double vision Impaired coordination Nasal congestion stuffy nose Infection
Luhon Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness Dry skin Skin peeling Blisters on skin
